"","sentence","sentiment","pntag"
"27","You will often scream in pain and sorrow,  for Zeus’ heart is pitilessly harsh,  and everyone whose ruling power is new  is cruel and ruthless",-1.14,"Negative"
"244","I may be miserable, but my distress  does not make me desire to see such pain  imposed on everyone—no, not at all",-1.12337140573249,"Negative"
